Категорія,Коротка назва,Coin,Над-категорія
Сутності: Фунціонал сутностей,⛔ Міцний елемент (не знищується пострілом),🟤,Сутності (entities)
Інтерфейс: Віконця або блоки,▶️ Стартовий екран,🟤,Інтерфейс
Сутності: Переміщення по полю,↔️ Переміщення: по горизонталі,🟤,Сутності (entities)
Сутності: Переміщення по полю,↗️ Переміщення: по діагоналі,🟤,Сутності (entities)
Сутності: Фунціонал сутностей,↗️ Різний кут відбиття мʼячика в залежності від місця удару по ракетці,🟤,Сутності (entities)
Сутності: Параметри сутностей,🔢 Різне: Закруглення ракетки (різні кути відбиття мʼячика),🟤,Сутності (entities)
Інтерфейс: Віконця або блоки,🏳️ Поразка,🟤,Інтерфейс
Сутності: Параметри сутностей,"💛 Життя: Міцність елементу (скільки разів вдарити, щоб знищити)",🟤,Сутності (entities)
Програмне створення рівнів,Перевірка досяжності всіх клітин,🟡,Рівні (levels)
Програмне створення рівнів,Відзеркалення для генерації,⚪,Рівні (levels)
Програмне створення рівнів,Випадкова генерація з вагами окремих клітин,⚪,Рівні (levels)
Програмне створення рівнів,Випадкова генерація ліній з клітин,⚪,Рівні (levels)
Сутності: Фунціонал сутностей,"🌳 Приховує інші клітинки, які стають на неї (як ліс з танчиків)",🟤,Сутності (entities)
Сутності: Фунціонал сутностей,"💧 Пропускає крізь себе снаряди (не знищуючись), як річка в танчиках",🟤,Сутності (entities)
Сутності: Фунціонал сутностей,💥 Може бути знищенним,🟤,Сутності (entities)
Інтерфейс: Відображення інфи,📊 Кількість ворогів,🟤,Інтерфейс
Інтерфейс: Віконця або блоки,📊 Перелік найкращих результатів (всього),🟤,Інтерфейс
Інтерфейс: Віконця або блоки,🛒 Магазин,🟤,Інтерфейс
Інтерфейс: Пункти меню,🛒 Магазин: відкриття покупки,🟤,Інтерфейс
Інтерфейс: Пункти меню,🛒 Магазин: Перегляд гардеробу,🟤,Інтерфейс
Інтерфейс: Віконця або блоки,🛒 Гардероб,🟤,Інтерфейс
Інтерфейс: Віконця або блоки,🛒 Магазин: Встановлення кольору для чогось,🟤,Інтерфейс
Інтерфейс: Пункти меню,🛒 Магазин: встановлення кольору для голови,🟤,Інтерфейс
Інтерфейс: Пункти меню,🛒 Магазин: встановлення кольору для тіла,🟤,Інтерфейс
Інтерфейс: Пункти меню,🛒 Магазин: встановлення кольору для всього,🟤,Інтерфейс
Інтерфейс: Віконця або блоки,🛒 Магазин: Кольори для покупки,🟤,Інтерфейс
Функціонал: Магазин,🛒 Магазин: покупка кольорів,🟤,Функціонал гри
Функціонал: Магазин,🛒 Магазин: гардероб вибір кольрів,🟤,Функціонал гри
Python: Бібліотеки,keyboard (стандартна),🟢,Python
Інтерфейс: Віконця або блоки,⚙️ Налаштування складності гри (швидкість),🟤,Інтерфейс
Інтерфейс: Віконця або блоки,⚙️ Налаштування (розмір поля),🟤,Інтерфейс
Інтерфейс: Відображення інфи,📊 Кількість зароблених монеток,🟤,Інтерфейс
Інтерфейс: Відображення інфи,📊 Кількість зʼїдених яблук,🟤,Інтерфейс
Функціонал: Перемога,"🏆 Перемога, якщо розмір змійки максимальний",🟤,Функціонал гри
Функціонал: Поразка,🏳️ Поразка: якщо врізались в стіну,🟤,Функціонал гри
Функціонал: Поразка,🏳️ Поразка: якщо врізались самі в себе,🟤,Функціонал гри
Сутності: Фунціонал сутностей,➕ Збільшення змійки на 1,🟤,Сутності (entities)
Сутності: Фунціонал сутностей,➕ Збільшення змійки на 3,🟤,Сутності (entities)
Сутності: Параметри сутностей,🔢 Різне: Ранг гравця (в залежності від score),🟤,Сутності (entities)
Інтерфейс: Відображення інфи,Ранг гравця,🟤,Інтерфейс
Python: Бібліотеки,json,🟢,Python
Функціонал гри,"Карта у вигляді тору (ідемо вниз, опиямось вверху, і так само вліво-вправо)",🟤,Функціонал гри
Сутності: Переміщення по полю,↔️ Переміщення: вліво-вправо з певною вирогідністю,🟤,Сутності (entities)
Функціонал гри,"-1 життя, якщо ворог дійшов до низу поля",🟤,Функціонал гри
Інтерфейс: Відображення інфи,"⏱️ Час, який залишився до перемоги",🟤,Інтерфейс
Інтерфейс: Відображення інфи,"Статус гри (остання подія, наприклад, ворог врізався, перезаряджається лазер)",🟤,Інтерфейс
Сутності: Фунціонал сутностей,⚔️ Перезарядка лазера (невеличкий таймер),🟤,Сутності (entities)
Функціонал гри,"Score: +1 за кожну секунду, яку протримались",🟤,Функціонал гри
Функціонал гри,Score: +X за кожного вбитого ворога,🟤,Функціонал гри
Інтерфейс: Результати гри,⌨️ Ввод імені гравця,🟤,Інтерфейс
Функціонал: Збереження,💾 Збереження імені гравця,🟤,Функціонал гри
Сутності: Переміщення по полю,Переміщення: волновий алгоритм до гравця,🟡,Сутності (entities)
Сутності: Переміщення по полю,"Переміщення: волну використовувати не напряму, а рандомно туди-сюди можна переміщатись",🟤,Сутності (entities)
Інтерфейс: Віконця або блоки,ℹ️ Довідка (help),🟤,Інтерфейс
Інтерфейс: Віконця або блоки,ℹ️ Інформація по командам,🟤,Інтерфейс
Інтерфейс: Віконця або блоки,🛒 Профіль (інвентар),🟤,Інтерфейс
